timestamp,accel_mean,accel_std,accel_min,accel_max
1970-01-01 00:00:14,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:15,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:17,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:18,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:19,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:20,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:21,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:22,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:23,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:24,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:26,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:27,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:28,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:29,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:30,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:31,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:32,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:33,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:34,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:36,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:37,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:38,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:39,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:40,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:41,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:42,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:43,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:44,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:46,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:47,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:48,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:49,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:50,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:51,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:52,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:53,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:55,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:56,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:57,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:58,0.290816,0.0,0.290816,0.290816
1970-01-01 00:00:59,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:00,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:01,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:02,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:04,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:05,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:06,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:07,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:08,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:09,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:10,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:11,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:13,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:14,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:15,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:16,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:17,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:18,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:20,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:21,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:22,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:23,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:24,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:25,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:26,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:27,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:29,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:30,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:31,0.290816,0.0,0.290816,0.290816
1970-01-01 00:01:32,0.290816,0.0,0.290816,0.290816
